input,subject,subject_type,data/object,relation,object,object_type
,候选实体生成,知识抽取,,习题,为什么要候选实体生成,知识抽取
,为什么要候选实体生成,知识抽取,属性,链接,https://postimg.cc/Lq0NbjW2,链接
,Jaccard相似度,知识抽取,,习题,计算Jaccard相似度,知识抽取
,计算Jaccard相似度,知识抽取,属性,链接,https://postimg.cc/McbHj188,链接
,Levenshtein距离,知识抽取,,习题,计算Levenshtein距离,知识抽取
,计算Levenshtein距离,知识抽取,属性,链接,https://postimg.cc/6y2d4bbJ,链接
,候选实体消歧,知识抽取,,习题,全局消歧和局部消歧的区别,知识抽取
,全局消歧和局部消歧的区别,知识抽取,属性,链接,https://postimg.cc/681qVB8M,链接
,一般IS-A关系提取,知识抽取,,习题,IS-A关系提取,知识抽取
,IS-A关系提取,知识抽取,属性,链接,https://postimg.cc/6TvBgdyL,链接
,n-gram,知识融合,,习题,计算bigram,知识融合
,计算bigram,知识融合,属性,链接,https://postimg.cc/R6RL05DK,链接
,TF-IDF,知识抽取,,习题,计算TF-IDF1,知识抽取
,计算TF-IDF1,知识抽取,属性,链接,https://postimg.cc/jD3VLmGV,链接
,PMI,知识抽取,,习题,计算PMI,知识抽取
,计算PMI,知识抽取,属性,链接,https://postimg.cc/jCTs00Tv,链接
,事实提取,知识抽取,,习题,事实提取1,知识抽取
,事实提取1,知识抽取,属性,链接,https://postimg.cc/cKp8NsMX,链接
,实例匹配,知识抽取,,习题,方法对比,知识抽取
,方法对比,知识抽取,属性,链接,https://postimg.cc/xXwgCS9F,链接
,n-gram,知识融合,,习题,计算trigram,知识融合
,计算trigram,知识融合,属性,链接,https://postimg.cc/GHBksSg0,链接
,实体匹配,知识融合,,习题,计算相似度1,知识融合
,计算相似度1,知识融合,属性,链接,https://postimg.cc/PNztQmJS,链接
,实体匹配,知识融合,,习题,计算相似度2,知识融合
,计算相似度2,知识融合,属性,链接,https://postimg.cc/PNhHJPyY,链接
,实体匹配,知识融合,,习题,计算相似度3,知识融合
,计算相似度3,知识融合,属性,链接,https://postimg.cc/bGjCg2sR,链接
,组图模式,知识存储,,习题,组图模式查询结果,知识存储
,组图模式查询结果,知识存储,属性,链接,https://postimg.cc/4mPVq7L5,链接
,SPARQL,知识存储,,习题,查询语句撰写1,知识存储
,查询语句撰写1,知识存储,属性,链接,https://postimg.cc/yDBBgWsw,链接
,更新操作,知识存储,,习题,更新操作撰写查询结果,知识存储
,更新操作撰写查询结果,知识存储,属性,链接,https://postimg.cc/N5W6tq8J,链接
,SPARQL,知识存储,,习题,查询语句撰写2,知识存储
,查询语句撰写2,知识存储,属性,链接,https://postimg.cc/xcKCXwDF,链接
,图匹配,知识存储,,习题,简化三元组模式1,知识存储
,简化三元组模式1,知识存储,属性,链接,https://postimg.cc/VdV8L45H,链接
,图匹配,知识存储,,习题,简化三元组模式2,知识存储
,简化三元组模式2,知识存储,属性,链接,https://postimg.cc/wRjC9szp,链接
,Optional图模式,知识存储,,习题,Optional图模式撰写查询结果1,知识存储
,Optional图模式撰写查询结果1,知识存储,属性,链接,https://postimg.cc/1fgdMS5J,链接
,Alternative图模式,知识存储,,习题,Alternative图模式撰写查询结果,知识存储
,Alternative图模式撰写查询结果,知识存储,属性,链接,https://postimg.cc/87Nhcd3M,链接
,Optional图模式,知识存储,,习题,Optional图模式撰写查询语句2,知识存储
,Optional图模式撰写查询语句2,知识存储,属性,链接,https://postimg.cc/KKK48RZt,链接
,多个匹配,知识存储,,习题,多个匹配撰写查询结果,知识存储
,多个匹配撰写查询结果,知识存储,属性,链接,https://postimg.cc/zbZKg9Xt,链接
,简单查询,知识存储,,习题,简单查询撰写查询结果,知识存储
,简单查询撰写查询结果,知识存储,属性,链接,https://postimg.cc/Wt0SXwBq,链接
,CONSTRUCT,知识存储,,习题,CONSTRUCT撰写查询结果,知识存储
,CONSTRUCT撰写查询结果,知识存储,属性,链接,https://postimg.cc/m1Rm4PvS,链接
,指定的数据集,知识存储,,习题,不同数据集撰写查询结果,知识存储
,不同数据集撰写查询结果,知识存储,属性,链接,https://postimg.cc/rKDfk2b3,链接
,Cypher-DELETE,知识存储,,习题,撰写Cypher-DELETE语句,知识存储
,撰写Cypher-DELETE语句,知识存储,属性,链接,https://postimg.cc/XGcYqPP0,链接
,Cypher-MATCH,知识存储,,习题,撰写Cypher查询语句1,知识存储
,撰写Cypher查询语句1,知识存储,属性,链接,https://postimg.cc/0Mq7hLmg,链接
,Cypher-MATCH,知识存储,,习题,撰写Cypher查询语句2,知识存储
,撰写Cypher查询语句2,知识存储,属性,链接,https://postimg.cc/239VZs6z,链接
,Cypher-MATCH,知识存储,,习题,撰写Cypher查询语句3,知识存储
,撰写Cypher查询语句3,知识存储,属性,链接,https://postimg.cc/tZT9RgFF,链接
,Cypher-MATCH,知识存储,,习题,撰写Cypher查询语句3,知识存储
,撰写Cypher查询语句3,知识存储,属性,链接,https://postimg.cc/tZT9RgFF,链接
,Cypher,知识存储,,习题,综合题,知识存储
,综合题,知识存储,属性,链接,https://postimg.cc/Js1vC2Nk,链接
,Cypher-SET,知识存储,,习题,撰写Cypher更新语句,知识存储
,撰写Cypher更新语句,知识存储,属性,链接,https://postimg.cc/K1zfNS7J,链接
,Cypher-CREATE,知识存储,,习题,撰写Cypher创建语句,知识存储
,撰写Cypher创建语句,知识存储,属性,链接,https://postimg.cc/YGkbQ4dm,链接
,基于字符串相似性的方法,知识抽取,,习题,计算相似度,知识抽取
,计算相似度,知识抽取,属性,链接,https://postimg.cc/yWDvczPj,链接
,基于模式的方法,知识抽取,,习题,抽取is-a关系,知识抽取
,抽取is-a关系,知识抽取,属性,链接,https://postimg.cc/zyHj6mv7,链接
,TF-IDF,知识抽取,,习题,计算TF-IDF2,知识抽取
,计算TF-IDF2,知识抽取,属性,链接,https://postimg.cc/6TS4S8Zs,链接
,TF-IDF,知识抽取,,习题,计算TF-IDF3,知识抽取
,计算TF-IDF3,知识抽取,属性,链接,https://postimg.cc/p52vcYBQ,链接
,事实提取,知识抽取,,习题,事实提取2,知识抽取
,事实提取2,知识抽取,属性,链接,https://postimg.cc/Jy1QnsK6,链接
,类型推断,知识抽取,,习题,类型推断1,知识抽取
,类型推断1,知识抽取,属性,链接,https://postimg.cc/PPWZwtCB,链接
,类型推断,知识抽取,,习题,类型推断2,知识抽取
,类型推断2,知识抽取,属性,链接,https://postimg.cc/r05yPp2T,链接
,分类归纳,知识抽取,,习题,分类归纳,知识抽取
,分类归纳,知识抽取,属性,链接,https://postimg.cc/gXKyPmv9,链接
,不一致检查,知识推理,,习题,不一致检查1,知识推理
,不一致检查1,知识推理,属性,链接,https://postimg.cc/rD09687P,链接
,描述逻辑推理,知识推理,,习题,give a model1,知识推理
,give a model1,知识推理,属性,链接,https://postimg.cc/FdWZ57Fw,链接
,描述逻辑推理,知识推理,,习题,give a model3,知识推理
,give a model3,知识推理,属性,链接,https://postimg.cc/2LYzY8HF,链接
,描述逻辑,知识推理,,习题,写出描述逻辑1,知识推理
,写出描述逻辑1,知识推理,属性,链接,https://postimg.cc/sMrLsHRz,链接
,描述逻辑,知识推理,,习题,写出描述逻辑2,知识推理
,写出描述逻辑2,知识推理,属性,链接,https://postimg.cc/qtgxT2g0,链接
,TransE,知识推理,,习题,TransE缺点,知识推理
,TransE缺点,知识推理,属性,链接,https://postimg.cc/9rdssHqV,链接
,OWL,知识表示,,习题,解释三元组,知识表示
,解释三元组,知识表示,属性,链接,https://postimg.cc/nsb2xX8P,链接
,RDF,知识表示,,习题,写出RDF三元组1,知识表示
,写出RDF三元组1,知识表示,属性,链接,https://postimg.cc/KRtrNZ37,链接
,OWL,知识表示,,习题,OWL原子合法性,知识表示
,OWL原子合法性,知识表示,属性,链接,https://postimg.cc/YGcCbwWg,链接
,RDF,知识表示,,习题,使用RDFS进行推理1,知识表示
,使用RDFS进行推理1,知识表示,属性,链接,https://postimg.cc/yDZmd7s3,链接
,RDF,知识表示,,习题,使用RDFS进行推理2,知识表示
,使用RDFS进行推理2,知识表示,属性,链接,https://postimg.cc/2bbrp94Y,链接
,RDF,知识表示,,习题,RDF语法,知识表示
,RDF语法,知识表示,属性,链接,https://postimg.cc/9rqb4dBf,链接
,RDF,知识表示,,习题,写出RDF三元组2,知识表示
,写出RDF三元组2,知识表示,属性,链接,https://postimg.cc/47khn0Xf,链接
,空白节点,知识表示,,习题,用空白节点写出RDF三元组1,知识表示
,用空白节点写出RDF三元组1,知识表示,属性,链接,https://postimg.cc/yJbWSbBg,链接
,空白节点,知识表示,,习题,用空白节点写出RDF三元组2,知识表示
,用空白节点写出RDF三元组2,知识表示,属性,链接,https://postimg.cc/GT02XT4b,链接
,XML,知识表示,,习题,XML语法检测,知识表示
,XML语法检测,知识表示,属性,链接,https://postimg.cc/bGcS65W7,链接
,后项推理,知识推理,,习题,进行后项推理1,知识推理
,进行后项推理1,知识推理,属性,链接,https://postimg.cc/21brq8cY,链接
,后项推理,知识推理,,习题,进行后项推理2,知识推理
,进行后项推理2,知识推理,属性,链接,https://postimg.cc/7bsFgrTZ,链接
,知识图谱表示学习方法评价指标,知识推理,,习题,计算评价指标,知识推理
,计算评价指标,知识推理,属性,链接,https://postimg.cc/23QwDQCR,链接
,Datalog语言,知识推理,,习题,DataLog推理,知识推理
,DataLog推理,知识推理,属性,链接,https://postimg.cc/3yjcbPSV,链接
,不一致检查,知识推理,,习题,不一致检查2,知识推理
,不一致检查2,知识推理,属性,链接,https://postimg.cc/crrLYNXs,链接
